PARCEL_LID,CAL_ACREAGE,agriculture_pct,developed_pct,forest_pct,other_pct,rangeland_pasture_pct,majority_land_use,total_pixels,valid_pixels,proportion_sum,is_valid
0207CRM34E7HDXHMEP7GGA,0.4476,0.0,87.5,12.5,0.0,0.0,DEVELOPED,8,8,100.0,True
0201AJHZLK7Q813NT6I48W,7.3252,0.0,100.0,0.0,0.0,0.0,DEVELOPED,48,48,100.0,True
0202WFWK3KJ14DWIXH5Y5E,1.4996,100.0,0.0,0.0,0.0,0.0,AGRICULTURE,15,15,100.0,True
0201U5CM171B2NAAOJPFYQ,0.8697,0.0,0.0,100.0,0.0,0.0,FOREST,9,9,100.0,True
0205M40JJ8AERQSJLC8FWW,1.5315,0.0,0.0,100.0,0.0,0.0,FOREST,14,14,100.0,True
02035NKM4S2XG43N10BILD,40.4861,100.0,0.0,0.0,0.0,0.0,AGRICULTURE,216,216,100.0,True
0207K2EZZVNKJI74RQP2E3,0.2757,0.0,50.0,50.0,0.0,0.0,DEVELOPED,4,4,100.0,True
0202P35WCK5NMQDCI8GE6W,,0.0,2.5174825174825175,0.13986013986013987,0.0,97.34265734265735,RANGELAND_PASTURE,715,715,100.0,True
0206C4YXGCOMQPEIXI705J,0.9157,0.0,58.333333333333336,41.66666666666667,0.0,0.0,DEVELOPED,12,12,100.0,True
0204QTVNPEIFDY145BC2BA,0.7832,0.0,100.0,0.0,0.0,0.0,DEVELOPED,9,9,100.0,True
020777P0AUV6K1GOYMEEVF,5.0017,0.0,3.0303030303030303,96.96969696969697,0.0,0.0,FOREST,33,33,100.0,True
0205MUERDK0VS774DLFZ61,0.2991,0.0,100.0,0.0,0.0,0.0,DEVELOPED,5,5,100.0,True
0202RYQRA5D5AOIYHR6WPY,0.2756,0.0,100.0,0.0,0.0,0.0,DEVELOPED,5,5,100.0,True
0200BJDH9JMXR8HEB6OPWB,5.8923,0.0,4.761904761904762,95.23809523809523,0.0,0.0,FOREST,42,42,99.99999999999999,True
02000UWAHU7L3I3OJ3P1N7,1.21,18.181818181818183,81.81818181818183,0.0,0.0,0.0,DEVELOPED,11,11,100.00000000000001,True
0204QGBTLPNY4J7KUC3O1D,8.7328,0.0,4.761904761904762,88.88888888888889,6.349206349206349,0.0,FOREST,63,63,100.0,True
0206KEJ6CODSSJBZWR78KW,13.9019,0.0,27.472527472527474,14.285714285714285,0.0,58.24175824175825,RANGELAND_PASTURE,91,91,100.0,True
